Date,Open,High,Low,Close,Volume,Adj Close
29-09-2015,62.44,64.62,62.06,63.26,4939800,59.97
30-09-2015,65.45,66.17,64.17,64.85,5167900,61.478
01-10-2015,66.14,66.47,63.86,64.45,4371800,61.099
02-10-2015,65.13,65.49,62.91,64.58,4486400,61.222
05-10-2015,65.79,66.87,64.79,66.43,3680700,62.976
06-10-2015,66.85,68.87,65.84,68.09,4294300,64.549
07-10-2015,69.04,71.08,68.77,69.69,5153100,66.066
08-10-2015,69.65,71.39,69.65,70.55,3490800,66.881
09-10-2015,71.64,72.73,71.38,72.21,3620400,68.455
12-10-2015,72.66,74.1,72.4,73.48,3809200,69.659
13-10-2015,73.38,73.44,70.98,72.55,4000000,68.777
14-10-2015,71.6,73.16,70.7,71.52,3123400,67.801
15-10-2015,72.32,73.39,72.28,72.9,2853700,69.109
16-10-2015,73.75,73.8,71.72,72.38,3664100,68.616
19-10-2015,72.38,73.55,72.26,72.82,2204600,69.033
20-10-2015,72.81,73.19,71.68,72.33,2567100,68.569
21-10-2015,72.99,74.29,71.92,73.72,3413600,69.887
22-10-2015,72.9,76.36,71.43,76.05,6498000,72.095
23-10-2015,77.88,79.69,77.17,78.71,6949800,74.617
26-10-2015,79,79.4,77.72,78.38,3552300,74.304
27-10-2015,78.49,78.92,77.98,78.1,2806200,74.039
28-10-2015,78.35,79.09,77.81,78.89,2749100,74.788
29-10-2015,79.82,79.89,78.16,78.55,3567100,74.465
30-10-2015,78.96,79.17,78.08,78.97,2994300,74.864
02-11-2015,78.08,80.03,78.05,79.76,2894600,75.612
03-11-2015,79.75,79.88,78.15,79.3,3231000,75.176
04-11-2015,78.5,78.55,75.1,77.65,5414500,73.612
05-11-2015,77.69,78.58,77.01,78.09,2896200,74.029
06-11-2015,78.28,80.33,77.89,79.79,4050400,75.641
09-11-2015,79.89,80.05,77.89,78,2968400,73.944
10-11-2015,78.44,79.2,77.45,79.08,2599300,74.968
11-11-2015,78.94,79.75,77.8,78.33,3299100,74.257
12-11-2015,77.93,77.99,76.23,76.99,3210100,72.987
13-11-2015,76.7,77.67,75.27,76.41,3191800,72.437
16-11-2015,75.2,76.57,75.15,76.01,2552500,72.057
17-11-2015,77.05,77.75,76.65,77.75,2856700,73.707
18-11-2015,77.57,78.83,77.1,78.04,2646100,73.982
19-11-2015,79,79.68,78.33,78.59,3418800,74.503
20-11-2015,79.16,79.6,78.6,79.25,3076900,75.129
23-11-2015,79.09,79.38,78.51,78.95,2108800,74.845
24-11-2015,79.39,79.53,77.84,78.45,3889700,74.371
25-11-2015,78.51,79.75,77.84,79.48,3321300,75.347
26-11-2015,79.75,82.46,79.65,82,4933500,77.736
27-11-2015,81.79,83.24,81.48,82.45,3561000,78.163
30-11-2015,82.66,84.73,82.56,84.73,4984700,80.324
01-12-2015,85.1,85.5,82.88,83.21,4032000,78.883
02-12-2015,83.61,83.91,82.49,82.84,2959500,78.532
03-12-2015,82.33,83.89,78.42,78.42,9358900,74.342
04-12-2015,78.72,79.34,77.14,78.61,5325700,74.522
07-12-2015,79.6,80.94,78.75,79.73,3209800,75.584
08-12-2015,79.94,79.94,76.55,77.53,4072000,73.498
09-12-2015,77.91,78.24,76.21,77.09,2919200,73.081
10-12-2015,76.56,78.02,76.44,77.24,2717100,73.224
11-12-2015,76.95,76.95,74.05,74.63,4589500,70.749
14-12-2015,75.25,75.69,72.48,72.95,4209200,69.157
15-12-2015,73.88,75.94,73.75,75.5,4155800,71.574
16-12-2015,76.04,76.91,75.41,76.09,3697400,72.133
17-12-2015,78.47,79.5,78.08,78.56,5034800,74.475
18-12-2015,77.8,78.39,76.17,76.79,8266400,72.797
21-12-2015,76.67,78.82,75.5,75.5,3787000,71.574
22-12-2015,76.63,77.1,75.07,76.37,3694900,72.399
23-12-2015,77.18,78.12,77.09,77.84,2375600,73.792
24-12-2015,77.84,77.84,77.84,77.84,0,73.792
25-12-2015,77.84,77.84,77.84,77.84,0,73.792
28-12-2015,78.25,78.4,77.02,77.3,1305800,73.28
29-12-2015,78.02,78.78,77.82,78.38,1910800,74.304
30-12-2015,78.4,78.4,77.58,77.58,1462600,73.546
31-12-2015,77.58,77.58,77.58,77.58,0,73.546
01-01-2016,77.58,77.58,77.58,77.58,0,73.546
04-01-2016,75.26,75.26,73.25,73.64,6727200,69.811
05-01-2016,74.45,74.52,72.64,73.63,3786200,69.801
06-01-2016,73,73.23,70.68,71.76,5168900,68.028
07-01-2016,69,69.27,68,69,8261200,65.412
08-01-2016,69.99,70.77,68.14,68.19,5717100,64.644
11-01-2016,68.1,70,67.75,68.13,4609700,64.587
12-01-2016,68.54,70.47,68.31,69.14,4398800,65.545
13-01-2016,70.57,70.94,67.8,68.24,4599500,64.692
14-01-2016,67.05,67.08,63.84,65.81,10950900,62.388
15-01-2016,65.92,66.49,63.51,64.53,8193900,61.174
18-01-2016,64.5,65.93,63.78,64.92,4642700,61.544
19-01-2016,66.58,66.9,65.28,65.53,4689200,62.122
20-01-2016,64,64.52,62.82,63.81,6507900,60.492
21-01-2016,64,66.38,63.35,65.62,6398200,62.208
22-01-2016,67.27,67.35,66.13,66.23,5354800,62.786
25-01-2016,66.71,66.88,64.6,65.1,4685100,61.715
26-01-2016,63,65.5,62.73,65.09,5476900,61.705
27-01-2016,64.91,65.93,64.27,65.93,3437700,62.502
28-01-2016,65.59,66.62,63.58,63.89,5146400,60.568
29-01-2016,65.04,65.05,63.15,64.16,5146800,60.824
01-02-2016,64.23,64.5,62.46,63.74,4043600,60.426
02-02-2016,63.75,63.92,62.48,62.83,5550100,59.563
03-02-2016,62.61,64.33,61.84,62.97,8368300,59.696
04-02-2016,59.95,61.41,59.16,60.94,13178700,57.771
05-02-2016,61.9,62.59,60.5,61.29,7660400,58.103
08-02-2016,61.55,61.97,59.1,59.36,6993600,56.273
09-02-2016,59.19,60.03,57.72,59.15,7513700,56.074
10-02-2016,59.5,60.26,58.36,59.3,6378500,56.216
11-02-2016,58.66,60.04,57.01,58.83,7314000,55.771
12-02-2016,59.44,61.25,59.26,60.91,6194500,57.743
15-02-2016,62.78,63.42,62.26,62.8,4847500,59.534
16-02-2016,63.54,63.67,61.69,62.33,3631600,59.089
17-02-2016,62.73,65.23,62.6,64.86,5332700,61.487
18-02-2016,65.5,65.86,64.15,64.72,5131500,61.355
19-02-2016,62.02,63.8,62,63.37,5782700,60.075
22-02-2016,64.2,64.7,64.1,64.39,3410400,61.042
23-02-2016,64.01,64.21,62.6,62.85,4309400,59.582
24-02-2016,62.85,62.91,59.67,60.28,5966100,57.145
25-02-2016,61.17,61.69,59.67,60.77,4743700,57.61
26-02-2016,61.8,63.29,61.42,62.65,5322800,59.392
29-02-2016,61.73,63.24,61.4,63.1,4205100,59.819
01-03-2016,62.89,64.86,62.68,64.69,4037600,61.326
02-03-2016,65.28,66.53,65.1,66.39,4623400,62.938
03-03-2016,66.66,67.12,65.52,66.65,3445600,63.184
04-03-2016,67.15,67.72,66.45,67.3,4370900,63.8
07-03-2016,67.1,67.46,66.01,66.98,2659700,63.497
08-03-2016,66.12,66.51,64.52,65.05,5379300,61.667
09-03-2016,65.04,66.28,64.35,65.28,5464600,61.885
10-03-2016,65.3,67.6,62.36,62.56,9273400,59.307
11-03-2016,63.97,65.28,63.53,65.09,4118000,61.705
14-03-2016,66.32,67.29,65.78,66.28,4659100,62.833
15-03-2016,66.14,66.87,65.84,66.43,3847700,62.976
16-03-2016,67.13,68.16,66.99,67.65,5149400,64.132
17-03-2016,68.5,68.52,65.21,66.63,5172300,63.165
18-03-2016,66.65,67.45,66.17,67.27,12196900,63.772
21-03-2016,67.09,68.39,66.36,66.68,3594000,63.213
22-03-2016,66.13,66.95,65.15,66.95,3901500,63.469
23-03-2016,67.48,68.25,66.8,67.28,4952400,63.781
24-03-2016,67.2,67.2,65.74,65.86,4241900,62.435
25-03-2016,65.86,65.86,65.86,65.86,0,62.435
28-03-2016,65.86,65.86,65.86,65.86,0,62.435
29-03-2016,66.84,66.97,65.47,66.35,3536000,62.9
30-03-2016,66.76,68.4,66.75,67.93,4317900,64.398
31-03-2016,67.8,68.06,67.12,67.37,4836500,63.867
01-04-2016,66.9,66.91,65.43,65.88,6164100,62.454
04-04-2016,66.02,66.49,65.07,65.4,4730200,61.999
05-04-2016,64.7,64.7,62.91,63.1,7781200,59.819
06-04-2016,63.81,63.93,61.78,62.5,9900900,59.25
07-04-2016,60.04,60.61,59.07,59.52,7746900,59.52
08-04-2016,59.83,60.46,59.6,59.62,4859800,59.62
11-04-2016,59.53,60.93,58.9,60.5,3797200,60.5
12-04-2016,60.69,61.3,60,61.3,3428300,61.3
13-04-2016,62.33,63.7,62.19,63.5,5072300,63.5
14-04-2016,63.51,63.88,63.19,63.86,3212600,63.86
15-04-2016,63.49,63.66,62.39,62.51,4849700,62.51
18-04-2016,61.63,63.84,61.45,63.51,3933100,63.51
19-04-2016,63.8,65.92,63.42,65.64,6463200,65.64
20-04-2016,65.18,66.41,64.93,66.13,4349700,66.13
21-04-2016,66.27,66.95,65.8,66.66,5087800,66.66
22-04-2016,62.9,64,61.6,63.25,11679000,63.25
25-04-2016,62.96,63.07,61.8,62.81,4386700,62.81
26-04-2016,62.92,63.51,62.67,62.93,3441300,62.93
27-04-2016,62.95,63.4,62.19,62.77,3582400,62.77
28-04-2016,62.42,63.12,61.66,62.98,3277800,62.98
29-04-2016,62.32,62.75,60.69,60.69,4969200,60.69
02-05-2016,61.15,61.56,60.71,61.09,2395000,61.09
03-05-2016,60.91,60.94,59.24,59.57,4762200,59.57
04-05-2016,59.4,59.77,58.43,58.68,3733400,58.68
05-05-2016,58.78,59.73,58.63,59.07,3214700,59.07
06-05-2016,58.85,59.83,58.44,59.4,3542500,59.4
09-05-2016,60.04,60.69,59.47,59.73,3206800,59.73
10-05-2016,60.09,60.56,59.59,60.1,3378800,60.1
11-05-2016,60.32,60.5,58.97,59.38,2940900,59.38
12-05-2016,59,59.99,58.54,58.76,3282400,58.76
13-05-2016,58.5,58.96,58.21,58.83,3546800,58.83
